Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Dag,Sæther,Ruudspranget 194,Mariannedal,1600,Norge,NO,19811227-7666,+47,77660194,1981-12-27,True
Stian,Jacobsen,Andersenmyra 2,Kristoffersen,0263,Norge,NO,19450201-8549,+47,48178118,1945-02-01,True
Sofie,Nilsson,Grantorget 4,Borås,35342,Sverige,SE,19630625-6626,+46,+46 (0)69 46 42 48,1963-06-25,True
Kenneth,Peterson,Rodriguez Gateway 35222,South Jacqueline,79657,Danmark,DK,19761016-6666,+45,001-272-738-9613x7691,1976-10-16,True
Sven,Nilsson,Ringvägen 251,Varberg,93643,Sverige,SE,19680518-2651,+46,08-89 51 75,1968-05-18,True
Gunn,Haugen,Edvardsenhaugen 20,Eivindvåg,4116,Norge,NO,19950612-2303,+47,410 88 312,1995-06-12,True
Valtteri,Harju,Osmonkatu 22,Inari,72766,Finland,FI,19570818-6498,+358,+358895674195,1957-08-18,True
Erik,Karlsson,Parkgatan 0,Kalmar,97678,Sverige,SE,19801204-9429,+46,08-090 217 21,1980-12-04,True
James,Conley,Harrison Camp 469,Aliciatown,17897,Danmark,DK,19940404-1019,+45,+1-420-382-8250x0028,1994-04-04,True
Anna,Svensson,Björktorget 044,Östersund,30931,Sverige,SE,19671207-2683,+46,+46 (0)677 073 82,1967-12-07,True
Josefin,Malm,Stationsgränd 49,Gävle,29776,Sverige,SE,19980930-5759,+46,0975-925 67,1998-09-30,True
Espen,Næss,Andersenskogen 5,Sandvik,9779,Norge,NO,19410601-4484,+47,971 34 644,1941-06-01,True
Christopher,Brady,Daniel Spring 24259,East Matthew,62603,Danmark,DK,19410508-0597,+45,(644)390-8897x32451,1941-05-08,True
Monika,Nilsson,Ringtorget 4,Jönköping,40880,Sverige,SE,19650621-8542,+46,+46 (0)851 799 67,1965-06-21,True
Karl,Nyberg,Parktorget 97,Östersund,72480,Sverige,SE,19740607-6055,+46,0021-95 21 77,1974-06-07,True
Pål,Nielsen,Rønningstranda 2,Ahmed,3889,Norge,NO,19541217-3112,+47,50704578,1954-12-17,True
Jonas,Hagen,Hellandalléen 5A,Tommyøy,5215,Norge,NO,19480618-7193,+47,998 63 100,1948-06-18,True
Peter,Johansson,Björkvägen 0,Mölndal,67283,Sverige,SE,19871207-1099,+46,+46 (0)04 24 07 42,1987-12-07,True
Stefan,Andersson,Kyrkovägen 4,Växjö,34222,Sverige,SE,19400720-3878,+46,082-73 46 41,1940-07-20,True
Anna,Jansson,Parkgatan 459,Östersund,58654,Sverige,SE,19910711-4357,+46,08-023 77 32,1991-07-11,True
Toni,Laurila,Yrjönbulevardi 462,Kumlinge,42961,Finland,FI,19631017-751C,+358,013 211 3992,1963-10-17,True
Jorunn,Gundersen,Gundersenstykket 9,Nielsen,4426,Norge,NO,19400529-7022,+47,426 06 801,1940-05-29,True
Tord,Nilsson,Parkstigen 156,Malmö,68562,Sverige,SE,19660805-1824,+46,080-21 96 36,1966-08-05,True
Bengt,Eriksson,Nygatan 0,Mölndal,44696,Sverige,SE,19421217-7514,+46,+46 (0)87 76 10 23,1942-12-17,True
Gösta,Gustafsson,Björkgränd 175,Halmstad,54820,Sverige,SE,19891226-7401,+46,0999-58 73 66,1989-12-26,True
Elisabet,Hansson,Asptorget 93,Lidingö,52963,Sverige,SE,19700322-6588,+46,0431-314 71,1970-03-22,True
Carl,Hansson,Stationsstigen 645,Göteborg,84546,Sverige,SE,19810630-1380,+46,009-05 16 65,1981-06-30,True
Stacie,Werner,Jones Pines 85159,Vazquezfurt,25706,Danmark,DK,19710626-7717,+45,3796137194,1971-06-26,True
Joseph,Anderson,Dunlap Mountain 7088,Lovemouth,82135,Danmark,DK,19960621-5651,+45,001-856-279-9021x190,1996-06-21,True
Jennifer,Lane,Kyle Islands 43078,Swansonmouth,27469,Danmark,DK,19791010-8268,+45,001-358-910-5093x26381,1979-10-10,True
Anders,Mårtensson,Kvarngatan 6,Gävle,59438,Sverige,SE,19760518-5500,+46,08-370 610 28,1976-05-18,True
Marjatta,Mäkelä,Haakoninlahdentie 46,Vaala,05917,Finland,FI,19700725-5086,+358,+358 08 9809044,1970-07-25,True
Marte,Berge,Johannessenroa 5,Kjelldal,3296,Norge,NO,19610825-1048,+47,15 85 38 32,1961-08-25,True
Dag,Aasen,Knutsenhavna 3,Amundsen,9428,Norge,NO,19930313-0410,+47,99770903,1993-03-13,True
Elisabeth,Sæther,Jensenfaret 4D,Larsen,3147,Norge,NO,19880927-8697,+47,+47 96 25 29 79,1988-09-27,True
Gustaf,Nyberg,Granvägen 3,Uddevalla,45601,Sverige,SE,19880217-4993,+46,08-786 54 57,1988-02-17,True
Ingeborg,Karlsen,Kristiansenhøgda 2C,Eliassen,5427,Norge,NO,19510318-8679,+47,469 26 592,1951-03-18,True
Jennifer,Nelson,Little Club 470,South Austinton,46994,Danmark,DK,19661105-7962,+45,+1-779-353-2505,1966-11-05,True
Stephanie,Castro,Kenneth Point 6327,South Lauren,49915,Danmark,DK,19430614-8165,+45,981.654.7824,1943-06-14,True
Crystal,Novak,Brennan View 87007,North Heidimouth,49264,Danmark,DK,19990329-4495,+45,001-796-764-6467,1999-03-29,True
Wenche,Olsen,Birkelandmarka 38,Mathisen,2354,Norge,NO,19970215-9870,+47,49896338,1997-02-15,True
Lisa,Persson,Parktorget 86,Örebro,70067,Sverige,SE,19700715-9753,+46,08-180 70 32,1970-07-15,True
Steinar,Nilsen,Rasmussenskogen 06,Svendsen,6391,Norge,NO,19831207-2440,+47,67525099,1983-12-07,True
Sune,Karlsson,Kyrkogatan 1,Västerås,59780,Sverige,SE,19890808-8083,+46,0693-65 38 78,1989-08-08,True
Juhani,Tiainen,Veropellonkuja 239,Sauvo,13180,Finland,FI,19660418-027L,+358,(+358) 017680430,1966-04-18,True
Birgit,Berg,Kyrkovägen 653,Skellefteå,23796,Sverige,SE,19711226-6909,+46,+46 (0)8 629 514 98,1971-12-26,True
Karl,Bergqvist,Strandvägen 8,Motala,13346,Sverige,SE,19610430-4955,+46,079-022 01 50,1961-04-30,True
Bjørn,Sørensen,Rønninglyngen 3,Alexanderhamn,5530,Norge,NO,19810128-6706,+47,+4709759031,1981-01-28,True
Kaarina,Hakala,Agronominpolku 80,Sonkajärvi,70468,Finland,FI,20000305-8127,+358,0252899441,2000-03-05,True
Gustaf,Pettersson,Parktorget 27,Karlskoga,52811,Sverige,SE,19440112-3427,+46,+46 (0)619 696 90,1944-01-12,True
Bertil,Bengtsson,Idrottsgränd 5,Alingsås,37441,Sverige,SE,19821020-1174,+46,+46 (0)8 689 835 74,1982-10-20,True
Magnus,Gustafsson,Trädgårdsgatan 409,Linköping,67447,Sverige,SE,19510620-7034,+46,+46 (0)8 258 866 89,1951-06-20,True
Michael,Bergström,Kvarnstigen 49,Kristianstad,63464,Sverige,SE,19510708-6146,+46,089-70 54 14,1951-07-08,True
April,Rose,Megan Corner 927,North Jamesmouth,42626,Danmark,DK,19870211-1077,+45,209.406.5851x566,1987-02-11,True
Sigurd,Nyman,Industrigatan 004,Södertälje,38172,Sverige,SE,19740312-1909,+46,08-192 759 59,1974-03-12,True
Ebba,Andersson,Kyrkotorget 6,Ängelholm,88368,Sverige,SE,19870307-5256,+46,+46 (0)8 799 416 74,1987-03-07,True
Michael,Campbell,Larson Meadow 4343,Lake Cynthia,85555,Danmark,DK,19810407-5319,+45,(692)628-2832,1981-04-07,True
Ruth,Solberg,Hauglandsvingen 89D,Ellenstrand,6375,Norge,NO,19790516-8530,+47,+47 14 70 81 79,1979-05-16,True
Bjørg,Solberg,Kristiansenplassen 7A,Rolfstrand,3792,Norge,NO,19911209-7347,+47,58 88 05 15,1991-12-09,True
Sharon,Andrews,Gill Fork 55365,Port Lindastad,67225,Danmark,DK,19750511-3288,+45,256-221-4789x6092,1975-05-11,True
Kjell,Hauge,Iversentjernet 2D,Aune,2025,Norge,NO,19910629-1252,+47,92796610,1991-06-29,True
Maria,Nilsson,Kvarnvägen 580,Göteborg,11045,Sverige,SE,19440329-3783,+46,08-605 013 05,1944-03-29,True
Mona,Johansson,Björkgatan 32,Trollhättan,76248,Sverige,SE,19520530-6096,+46,+46 (0)571 255 78,1952-05-30,True
Bo,Hansson,Parkvägen 5,Trelleborg,99938,Sverige,SE,19490615-2449,+46,+46 (0)80 70 42 60,1949-06-15,True
Alexandra,Gomez,Eric Unions 790,South Julia,14490,Danmark,DK,19440224-8502,+45,001-737-445-2944x08876,1944-02-24,True
Ragnhild,Kristiansen,Tveittunet 88,Alfvåg,3594,Norge,NO,19820311-0289,+47,448 14 258,1982-03-11,True
Charlotta,Klasson,Järnvägstorget 9,Sandviken,46351,Sverige,SE,19401003-1471,+46,08-973 82 47,1940-10-03,True
Karen,Watkins,Maria Springs 5574,New Lisa,78723,Danmark,DK,19691229-6773,+45,001-638-753-4609x83276,1969-12-29,True
Devon,Sutton,Holmes Court 6162,Jaclynchester,07493,Danmark,DK,19920208-3880,+45,435.209.8190,1992-02-08,True
Pirjo,Kivelä,Yllästunturinbulevardi 912,Jyväskylä,87203,Finland,FI,19921212-7385,+358,(+358) 692436550,1992-12-12,True
Thomas,Karlsson,Kyrkstigen 49,Stockholm,99404,Sverige,SE,19981021-2109,+46,081-312 32 65,1998-10-21,True
Thomas,Mckinney,Kristy Fall 7982,Hoffmanview,41770,Danmark,DK,19860622-8341,+45,+1-845-884-4546x0397,1986-06-22,True
Mats,Eriksson,Trädgårdstorget 40,Kalmar,81449,Sverige,SE,19490502-3870,+46,0071-805 05,1949-05-02,True
Jaakko,Lindroos,Osuuskunnankatu 42,Kotka,52359,Finland,FI,19981011-048E,+358,0480806332,1998-10-11,True
Petteri,Kivelä,Maneesikuja 000,Vihti,34897,Finland,FI,19690121-628F,+358,0678664818,1969-01-21,True
John,Tangen,Strømlia 3E,Eliborg,6559,Norge,NO,19730506-2123,+47,+4762264950,1973-05-06,True
Dagny,Nilsson,Nytorget 669,Lidingö,89796,Sverige,SE,19640129-1446,+46,+46 (0)63 38 61 85,1964-01-29,True
Håvard,Moen,Abrahamsentjernet 4,Magnestrøm,8864,Norge,NO,19400122-5006,+47,+47 54 99 27 70,1940-01-22,True
Mauri,Pöllänen,Vaakalinnunkuja 985,Pielavesi,43999,Finland,FI,19721001-197C,+358,+358 16 0533503,1972-10-01,True
Cecilia,Lindström,Grantorget 00,Karlskoga,16239,Sverige,SE,19490127-9855,+46,08-642 092 61,1949-01-27,True
Jorma,Saarinen,Fastbölenkatu 499,Joroinen,79962,Finland,FI,19640801-281C,+358,0371504201,1964-08-01,True
Harald,Engen,Vikstranda 7D,Nguyen,3912,Norge,NO,19550426-6187,+47,67 70 00 10,1955-04-26,True
Maria,Hallberg,Storgatan 5,Örnsköldsvik,17747,Sverige,SE,19610113-9302,+46,+46 (0)25 21 46 38,1961-01-13,True
Cheryl,Anderson,Barker Square 000,Port John,81038,Danmark,DK,19651028-9371,+45,895.806.7802,1965-10-28,True
Kalevi,Virtanen,Purjetuulenpolku 49,Virrat,86661,Finland,FI,19401206-390Y,+358,+358849453038,1940-12-06,True
Edward,Jones,Rebecca Mountain 5789,Lake Kayla,16488,Danmark,DK,19780816-1328,+45,+1-640-863-5168,1978-08-16,True
Stina,Söderström,Skolgränd 8,Skellefteå,20461,Sverige,SE,19780318-4687,+46,038-41 37 32,1978-03-18,True
Tracy,Gonzales,Morse Road 37421,Silvaburgh,27961,Danmark,DK,19910621-4258,+45,+1-347-511-4045x6559,1991-06-21,True
Christina,Sanchez,Blanchard Extension 5527,Richardbury,91185,Danmark,DK,19581105-0073,+45,+1-242-475-9155x20505,1958-11-05,True
Irene,Karlsson,Industrivägen 937,Lund,25914,Sverige,SE,19621124-1466,+46,08-82 26 70,1962-11-24,True
Kaarina,Räsänen,Fagottitie 14,Närpiö,61850,Finland,FI,19880816-760F,+358,(+358) 607193651,1988-08-16,True
Linda,Moore,Donna Lakes 692,Parkerberg,84938,Danmark,DK,19500417-3356,+45,(497)996-9983,1950-04-17,True
Adam,Thomas,White Curve 6303,Mariaside,50258,Danmark,DK,19481208-3577,+45,001-651-430-3741x44569,1948-12-08,True
James,Jenkins,Cooley Plain 499,Richardsmouth,14867,Danmark,DK,19700324-8421,+45,8733076608,1970-03-24,True
Tommy,Dahlgren,Kyrkgatan 38,Falun,53787,Sverige,SE,19971231-5910,+46,+46 (0)194 435 16,1997-12-31,True
Phillip,Cline,Hicks Locks 32993,Lake Seanberg,25660,Danmark,DK,19870830-7849,+45,607-950-8672,1987-08-30,True
Mary,Ferguson,Johnson Village 0918,Josephfort,24693,Danmark,DK,19600828-1295,+45,001-376-892-1200x416,1960-08-28,True
Hans,Johansson,Skolstigen 0,Västerås,96692,Sverige,SE,19590718-8788,+46,0806-097 78,1959-07-18,True
Sean,Hamilton,Richard Landing 514,West Joshuaville,22147,Danmark,DK,19511015-0389,+45,(372)244-2140,1951-10-15,True
Øystein,Fredriksen,Engenlunden 57,Knutsen,6302,Norge,NO,19430109-9167,+47,94839497,1943-01-09,True
Berit,Karlsson,Björkgatan 2,Borås,74277,Sverige,SE,19450308-0330,+46,08-81 96 19,1945-03-08,True
Odd,Andreassen,Lienflata 6F,Johnsen,4962,Norge,NO,19980709-7326,+47,99912663,1998-07-09,True
Robert,Rodriguez,Heath Harbor 867,Port Kathleenborough,53730,Danmark,DK,19591018-3671,+45,001-254-992-2890,1959-10-18,True
Sinikka,Juntunen,Ilomäentie 740,Vieremä,27212,Finland,FI,19691109-065H,+358,(+358) 270679773,1969-11-09,True
Ragnhild,Magnusson,Skogsvägen 6,Västerås,14772,Sverige,SE,19860104-5324,+46,051-50 42 53,1986-01-04,True
Lise,Lunde,Strandstranda 98,Adrianfjord,8295,Norge,NO,19860523-1891,+47,40 02 40 00,1986-05-23,True
Jon,Edvardsen,Jensenlia 184,Vidarsand,1703,Norge,NO,19630701-0453,+47,+47 77 67 92 80,1963-07-01,True
Kirsti,Kettunen,Yrttimaankuja 73,Janakkala,42120,Finland,FI,19741020-666S,+358,0798616224,1974-10-20,True
Melissa,Phillips,James Expressway 03540,Andersonside,47784,Danmark,DK,19450327-2308,+45,001-803-772-7878x6614,1945-03-27,True
Keith,Brown,Emily Bridge 17019,Chelseaville,65234,Danmark,DK,19590710-7119,+45,+1-340-965-0539x554,1959-07-10,True
Peter,Carlson,Johns Brook 377,Mooreside,47198,Danmark,DK,19941116-5680,+45,(644)507-6506x5966,1994-11-16,True
Karl,Jonsson,Ringgatan 66,Varberg,84069,Sverige,SE,19520706-1352,+46,082-166 02 87,1952-07-06,True
Duane,Rocha,Jennifer Parks 917,Pamelaburgh,66833,Danmark,DK,19630123-8625,+45,(237)402-5612x2479,1963-01-23,True
Hans,Wallin,Grangatan 832,Malmö,43467,Sverige,SE,19650624-0888,+46,08-840 016 33,1965-06-24,True
Maren,Haugen,Andersenfaret 6,Thomassen,7669,Norge,NO,19950223-7722,+47,18456917,1995-02-23,True
Scott,Maxwell,Catherine Flat 649,North Martin,94747,Danmark,DK,19690317-0044,+45,(712)283-1397,1969-03-17,True
Dillon,Matthews,Williams Terrace 516,East Jeremyshire,80890,Danmark,DK,19781012-5957,+45,462.501.4409,1978-10-12,True
Andreas,Andersson,Granstigen 45,Varberg,15342,Sverige,SE,19950619-9318,+46,0278-414 97,1995-06-19,True
Anna,Andersson,Furugatan 63,Trelleborg,75298,Sverige,SE,19541210-4951,+46,0991-67 80 40,1954-12-10,True
Tobias,Myhre,Bergelyngen 1,Torehavn,7838,Norge,NO,19791107-0344,+47,969 44 284,1979-11-07,True
Roger,Moore,Jacqueline Light 3968,West Michaelside,78248,Danmark,DK,19890420-0446,+45,+1-614-425-3940x82810,1989-04-20,True
Eric,Hagström,Furutorget 17,Trollhättan,88730,Sverige,SE,19530502-3418,+46,021-19 14 33,1953-05-02,True
Susanne,Haglund,Björkvägen 5,Lidköping,55644,Sverige,SE,19751201-3736,+46,+46 (0)68 69 44 34,1975-12-01,True
Grete,Lien,Brekkeskrenten 55D,Kristiansand,3056,Norge,NO,19810801-8478,+47,49014352,1981-08-01,True
Alexander,Chavez,Dennis Loop 32417,Dawnshire,47796,Danmark,DK,19791011-4203,+45,(218)653-0198x4490,1979-10-11,True
Urban,Lundkvist,Ängsvägen 845,Mölndal,29549,Sverige,SE,19770225-2259,+46,08-69 20 85,1977-02-25,True
Sven,Andersson,Grangränd 958,Malmö,86400,Sverige,SE,20000531-9144,+46,+46 (0)8 556 625 85,2000-05-31,True
Lori,Sanders,Aaron Streets 972,Nguyenburgh,74244,Danmarm,DK,19940906-7794,+45,001-660-882-1499x585,1994-09-06,True
Tommy,Lundberg,Ekvägen 856,Piteå,90934,Sverige,SE,19680620-4902,+46,08-017 980 78,1968-06-20,True
Tyler,Willis,Judith Falls 401,Acostaport,39826,Danmark,DK,19861010-6693,+45,001-984-931-4262x653,1986-10-10,True
Bruce,Robertson,Robert Corner 012,Amyborough,32452,Danmark,DK,19541018-0270,+45,576-815-6627,1954-10-18,True
Maria,Hansson,Skolgatan 9,Borlänge,27696,Sverige,SE,19530404-1871,+46,080-136 68 35,1953-04-04,True
Erik,Bengtsson,Industritorget 697,Eskilstuna,72167,Sverige,SE,19580604-0477,+46,042-883 55 42,1958-06-04,True
Christina,Jönsson,Åkergatan 955,Kalmar,62572,Sverige,SE,19660213-0475,+46,+46 (0)8 021 602 07,1966-02-13,True
Martine,Haug,Bergejordet 413,Heidihamn,1742,Norge,NO,19550426-9783,+47,+47 63 24 28 68,1955-04-26,True
Karl,Svensson,Storgatan 0,Sandviken,78041,Sverige,SE,19811109-3106,+46,0285-063 49,1981-11-09,True
Margareta,Olsson,Björkvägen 924,Alingsås,55059,Sverige,SE,19671119-3433,+46,056-73 79 40,1967-11-19,True
Gustav,Ståhl,Idrottsvägen 7,Karlskoga,57724,Sverige,SE,19630304-7051,+46,0809-805 37,1963-03-04,True
Stina,Östlund,Björktorget 8,Umeå,60311,Sverige,SE,19681109-4354,+46,08-55 57 03,1968-11-09,True
Linn,Hagen,Hansenroa 260,Asbjørnhavn,6619,Norge,NO,19730215-5979,+47,959 88 281,1973-02-15,True
Anders,Johansson,Stationsstigen 776,Gävle,57458,Sverige,SE,19791129-4066,+46,032-37 33 67,1979-11-29,True
Anna,Nilsson,Fabriksgatan 0,Ängelholm,86918,Sverige,SE,20000423-0655,+46,08-12 43 17,2000-04-23,True
Ashley,Jordan,Dalton Trafficway 275,Lake Stacyside,32690,Danmark,DK,19780828-9130,+45,(621)227-3789,1978-08-28,True
Justin,Cook,Steele Knolls 67121,Ramirezborough,25308,Danmark,DK,19740813-2528,+45,245.629.3748,1974-08-13,True
Peggy,Randolph,Mckee Dale 44717,Kimberlybury,57661,Danmark,DK,19731228-4040,+45,(966)700-3198x9861,1973-12-28,True
Kristine,Lund,Andersenhaugen 58,Kristiansen,2690,Norge,NO,19491006-3113,+47,489 76 891,1949-10-06,True
Ann,Jansson,Skolgatan 9,Gävle,49494,Sverige,SE,19700628-2400,+46,+46 (0)8 064 878 20,1970-06-28,True
Jessica,Velez,King Rue 3413,East Codyhaven,30782,Danmark,DK,19461031-7077,+45,509-878-9334x637,1946-10-31,True
Gösta,Sjödin,Industristigen 894,Skövde,50143,Sverige,SE,19831006-1694,+46,+46 (0)03 90 64 02,1983-10-06,True
Aaron,Fritz,Robertson Coves 710,Robertstown,79085,Danmark,DK,19731106-4319,+45,(789)434-2728x53358,1973-11-06,True
Johannes,Jansson,Fabriksstigen 76,Uppsala,34461,Sverige,SE,19520601-3829,+46,0262-26 55 66,1952-06-01,True
Ulla,Ottosson,Parkgatan 644,Borlänge,12258,Sverige,SE,19421108-2153,+46,+46 (0)8 490 466 02,1942-11-08,True
Christian,Andresen,Bergevollen 2,Helgestad,0140,Norge,NO,19401025-6361,+47,92292399,1940-10-25,True
Lene,Kristiansen,Andersenberget 1,Jakobsen,5514,Norge,NO,19860627-4417,+47,51 36 49 63,1986-06-27,True
Svein,Sivertsen,Haugelunden 30,Gundersen,3827,Norge,NO,19660411-9787,+47,45165529,1966-04-11,True
Lars,Bengtsson,Järnvägsgatan 39,Norrköping,98475,Sverige,SE,19810126-5894,46,+46 (0)8 580 510 91,1981-01-26,True
Sirkka,Lindström,Rukopolku 833,Loviisa,46070,Finland,FI,19980602-188P,+358,+358563750581,1998-06-02,True
Joshua,Yates,Jack Forest 726,South Gregoryfort,87084,Danmark,DK,19561130-1145,+45,001-495-972-1861x188,1956-11-30,True
Jacob,Berry,Bradley Knolls 6876,East Anthony,59458,Danmark,DK,19720422-8816,+45,+1-497-815-3490x0976,1972-04-22,True
David,Jackson,Susan Stravenue 3082,Curtisfurt,12588,Danmark,DK,19990906-1879,+45,001-518-852-6483x86603,1999-09-06,True
Margareta,Viklund,Genvägen 141,Kalmar,97740,Sverige,SE,19730612-5243,+46,003-664 70 03,1973-06-12,True
Camilla,Sjögren,Backgränd 008,Sandviken,84526,Sverige,SE,19840919-0791,+46,083-398 23 72,1984-09-19,True
David,Gustafsson,Industritorget 18,Malmö,22991,Sverige,SE,19501021-8237,+46,0062-26 72 98,1950-10-21,True
Matti,Puranen,Gneissikatu 64,Joutsa,53668,Finland,FI,19900128-8588,+358,0985232303,1990-01-28,True
Jens,Dahl,Myklebustmyra 2D,Petterhamn,5009,Norge,NO,19800706-3691,+47,05617397,1980-07-06,False
Ashley,Donaldson,Jackson Avenue 28615,South Danaberg,54593,Danmark,DK,19500212-7772,+45,(304)787-2825x02829,1950-02-12,True
Åke,Holmberg,Bäckgatan 28,Borlänge,55531,Sverige,SE,19650706-2158,+46,0969-98 32 00,1965-07-06,True
Mia,Martikainen,Ormustie 835,Evijärvi,27883,Finland,FI,19630204-8114,+358,+358769486741,1963-02-04,True
Sissel,Myklebust,Karlsenstranda 5,Larsen,0095,Norge,NO,19440926-4395,+47,45934849,1944-09-26,True
Tommy,Isaksen,Eriksenlyngen 6,Ninafjord,6525,Norge,NO,19950212-1012,+47,43815920,1995-02-12,True
Hanne,Jenssen,Sandviktunet 12,Stinebø,1061,Norge,NO,19880420-0139,+47,928 93 151,1988-04-20,True
Juhani,Korhonen,Döbelninbulevardi 758,Lapinlahti,53329,Finland,FI,19880515-445M,+358,(+358) 923421151,1988-05-15,True
Gerd,Åkesson,Villavägen 1,Södertälje,19627,Sverige,SE,19511118-1697,+46,0890-98 82 61,1951-11-18,True
Jordan,Andrews,Henson Causeway 70404,Bryanland,68604,Danmark,DK,19700614-6961,+45,+1-225-619-0977,1970-06-14,True
Ingegärd,Hedlund,Stationsgränd 05,Alingsås,82883,Sverige,SE,19920625-6179,+46,0742-164 47,1992-06-25,True
Craig,Johnson,Baker Flat 1759,South Christopherhaven,92471,Danmark,DK,19910718-5389,+45,921.306.8898x357,1991-07-18,True
Marcus,Olsson,Fabriksvägen 1,Lidingö,63436,Sverige,SE,19781210-1892,+46,+46 (0)556 757 11,1978-12-10,True
Linn,Andresen,Tangenåsen 1A,Helland,5438,Norge,NO,19470922-7003,+47,919 10 562,1947-09-22,True
Lars,Jonsson,Fabriksgatan 2,Nyköping,43100,Sverige,SE,19430303-0298,+46,022-83 70 61,1943-03-03,True
Svein,Engen,Andresenåsen 7A,Pedersen,6624,Norge,NO,19920110-7503,+47,29922130,1992-01-10,True
Karl,Oskarsson,Skolgatan 2,Uppsala,38158,Sverige,SE,19740203-8498,+46,+46 (0)679 704 41,1974-02-03,True
Margaretha,Svensson,Backgatan 365,Piteå,48690,Sverige,SE,19890420-2553,+46,08-987 53 59,1989-04-20,True
Lise,Abrahamsen,Bøebråten 8C,Hauge,5032,Norge,NO,19641204-6927,+47,428 11 099,1964-12-04,True
Erik,Ågren,Furugatan 1,Örnsköldsvik,85478,Sverige,SE,19780221-7834,+46,+46 (0)83 10 20 43,1978-02-21,True
Patricia,Edwards,Frazier Ways 4384,Port Jane,16804,Danmark,DK,19490502-4009,+45,001-955-514-0384x9515,1949-05-02,True
Vidar,Helland,Edvardsenvika 27D,Nilsen,3153,Norge,NO,19500605-9660,+47,80 93 64 86,1950-06-05,True
Birgitta,Carlsson,Parkgatan 50,Lidköping,86452,Sverige,SE,19950526-1339,+46,055-78 78 81,1995-05-26,True
Cynthia,Padilla,John Squares 51804,New Sierra,80547,Danmark,DK,19890612-1288,+45,(534)760-8071,1989-06-12,True
Patrick,Huynh,Kimberly Keys 450,Thomasstad,40753,Danmark,DK,19840813-1016,+45,494.732.7821,1984-08-13,True
Märta,Andersson,Aspstigen 72,Varberg,90994,Sverige,SE,19731204-6683,+46,0554-93 52 27,1973-12-04,True
Karoliina,Mäkinen,Agricolanbulevardi 77,Sastamala,77048,Finland,FI,19871109-058E,+358,(+358) 027521485,1987-11-09,True
Adrian,Haug,Kristiansentoppen 19A,Cathrinevåg,9210,Norge,NO,19980127-1018,+47,86 93 66 44,1998-01-27,True
Tapani,Saarinen,Bertha Pauligin katu 51,Vesanto,88504,Finland,FI,19900729-4217,+358,(+358) 820700900,1990-07-29,True
Jesus,Deleon,Maria Mountain 25410,Victoriamouth,16662,Danmark,DK,19630518-6562,+45,+1-809-710-4096x803,1963-05-18,True
Maria,Karlsen,Eriksenstien 9,Hanssen,2230,Norge,NO,19940318-1767,+47,92 71 06 58,1994-03-18,True
Sigvard,Johansson,Skolgatan 93,Östersund,93884,Sverige,SE,19840915-3052,+46,08-346 663 40,1984-09-15,True
Anders,Johansson,Grangatan 861,Piteå,66030,Sverige,SE,19541127-1810,+46,08-947 50 54,1954-11-27,True
Michael,Perkins,Courtney Oval 4480,West Christophermouth,12758,Danmark,DK,19861212-8941,+45,+1-238-212-7976,1986-12-12,True
Erik,Knutsson,Järnvägsvägen 6,Östersund,42574,Sverige,SE,19860819-6402,+46,048-71 40 48,1986-08-19,True
Amanda,Ramos,Erin Spur 74365,Brownville,16631,Danmark,DK,19961028-7053,+45,(289)390-0230x111,1996-10-28,True
Katarina,Jönsson,Industrigatan 207,Göteborg,75054,Sverige,SE,19500418-4234,+46,08-325 981 55,1950-04-18,True
Morten,Tangen,Lienmarka 52,Jensen,3556,Norge,NO,19831226-9376,+47,73 46 30 94,1983-12-26,True
Charlotta,Carlsson,Villagränd 5,Skellefteå,71443,Sverige,SE,19740312-4588,+46,069-12 85 61,1974-03-12,True
Johanna,Gustavsson,Parktorget 001,Nyköping,79165,Sverige,SE,19950708-1309,+46,+46 (0)463 424 34,1995-07-08,True
Kaarina,Moisio,Zaidanbulevardi 1,Loviisa,33974,Finland,FI,19570927-6655,+358,+358 13 0460360,1957-09-27,True
Lisa,Hunter,Elizabeth Branch 5798,Stevenmouth,62288,Danmark,DK,19900915-3680,+45,+1-705-399-9469,1990-09-15,True
Christina,Johnson,Bird Lake 08804,Bryanburgh,22853,Danmark,DK,19960521-8699,+45,(318)613-5062x5524,1996-05-21,True
Anna-Karin,Danielsson,Bäckgatan 6,Landskrona,65836,Sverige,SE,19870614-2027,+46,+46 (0)282 932 99,1987-06-14,True
Ivar,Rønning,Knutsentunet 7,Ireneås,5727,Norge,NO,19710706-9596,+47,927 41 775,1971-07-06,True
Per,Olsson,Strandstigen 9,Östersund,18088,Sverige,SE,19530610-7559,+46,08-999 157 89,1953-06-10,True
Roar,Danielsen,Bakkenløkka 6,Kristiansen,2368,Norge,NO,19480304-8615,+47,91052989,1948-03-04,True
Elias,Rosén,Villagränd 92,Karlskoga,75454,Sverige,SE,19641019-4889,+46,+46 (0)73 57 39 99,1964-10-19,True
Irene,Svendsen,Gulbrandsentoppen 9,Kjerstivik,6893,Norge,NO,19840315-7774,+47,68 00 86 28,1984-03-15,True
Jessica,Lundberg,Ringvägen 50,Nyköping,92692,Sverige,SE,19891225-9212,+46,08-759 41 93,1989-12-25,True
